Batch 0: Loss: 0.6381527781486511, Acc: 50.00%, Labels: [1, 0]
Batch 10: Loss: 1.1761468648910522, Acc: 50.00%, Labels: [0, 1]
Batch 10: Loss: 0.0905739963054657, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 1.225860834121704, Acc: 50.00%, Labels: [0, 1]
Batch 11: Loss: 0.09052471816539764, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 1.416754961013794, Acc: 50.00%, Labels: [0, 1]
Batch 11: Loss: 0.08297143876552582, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 1.5490963459014893, Acc: 50.00%, Labels: [0, 1]
Batch 12: Loss: 0.07262284308671951, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 0.06718910485506058, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 0.07092337310314178, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 0.06762159615755081, Acc: 100.00%, Labels: [1]
Batch 0: Loss: 0.07175543904304504, Acc: 100.00%, Labels: [1, 1]
Batch 0: Loss: 0.08618012070655823, Acc: 100.00%, Labels: [1, 1]
Batch 0: Loss: 1.4473665952682495, Acc: 50.00%, Labels: [0, 1]
Batch 0: Loss: 0.08387221395969391, Acc: 100.00%, Labels: [1, 1]
Batch 1: Loss: 1.0765546560287476, Acc: 50.00%, Labels: [0, 1]
Batch 1: Loss: 1.3735140562057495, Acc: 50.00%, Labels: [1, 0]
Batch 1: Loss: 0.07355101406574249, Acc: 100.00%, Labels: [1, 1]
Batch 1: Loss: 0.07035987079143524, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.07549221813678741, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 1.8245275020599365, Acc: 50.00%, Labels: [1, 0]
Batch 2: Loss: 1.2775213718414307, Acc: 50.00%, Labels: [0, 1]
Batch 2: Loss: 0.08011958748102188, Acc: 100.00%, Labels: [1, 1]
Batch 3: Loss: 0.07764723896980286, Acc: 100.00%, Labels: [1, 1]
Batch 3: Loss: 1.6117969751358032, Acc: 50.00%, Labels: [1, 0]
Batch 3: Loss: 0.08360737562179565, Acc: 100.00%, Labels: [1, 1]
Batch 3: Loss: 1.5121413469314575, Acc: 50.00%, Labels: [1, 0]
Batch 4: Loss: 1.279486060142517, Acc: 50.00%, Labels: [0, 1]
Batch 4: Loss: 0.12044579535722733, Acc: 100.00%, Labels: [1, 1]
Batch 4: Loss: 2.2785611152648926, Acc: 0.00%, Labels: [0, 0]
Batch 4: Loss: 0.0911925658583641, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.16512469947338104, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 1.2331091165542603, Acc: 50.00%, Labels: [1, 0]
Batch 5: Loss: 0.9387465715408325, Acc: 50.00%, Labels: [1, 0]
Batch 5: Loss: 0.1291481852531433, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.9438164234161377, Acc: 50.00%, Labels: [0, 1]
Batch 6: Loss: 0.1445900797843933, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 1.0604573488235474, Acc: 50.00%, Labels: [1, 0]
Batch 6: Loss: 0.16023321449756622, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.2062014937400818, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 1.150820255279541, Acc: 50.00%, Labels: [1, 0]
Batch 7: Loss: 0.2102975845336914, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.993710458278656, Acc: 50.00%, Labels: [1, 0]
Batch 8: Loss: 0.6079025268554688, Acc: 50.00%, Labels: [0, 1]
Batch 8: Loss: 0.30133533477783203, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.28259146213531494, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.2898739278316498, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 0.34279972314834595, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 0.552298367023468, Acc: 50.00%, Labels: [1, 0]
Batch 9: Loss: 0.6598225831985474, Acc: 50.00%, Labels: [1, 0]
Batch 9: Loss: 0.36027631163597107, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 0.5598981380462646, Acc: 50.00%, Labels: [1, 0]
Batch 10: Loss: 0.4945233166217804, Acc: 50.00%, Labels: [1, 0]
Batch 10: Loss: 0.39513343572616577, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 0.4343694746494293, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 0.5279554128646851, Acc: 50.00%, Labels: [1, 1]
Batch 11: Loss: 0.5051369071006775, Acc: 50.00%, Labels: [1, 1]
Batch 11: Loss: 1.0494410991668701, Acc: 50.00%, Labels: [0, 0]
Batch 11: Loss: 0.4352048635482788, Acc: 100.00%, Labels: [1, 0]
Batch 12: Loss: 0.5013917088508606, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 0.924054741859436, Acc: 0.00%, Labels: [0]
Batch 12: Loss: 0.5169053673744202, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 0.9199243783950806, Acc: 0.00%, Labels: [0]
Batch 0: Loss: 0.3488163948059082, Acc: 100.00%, Labels: [0, 1]
Batch 0: Loss: 0.6890965104103088, Acc: 50.00%, Labels: [1, 1]
Batch 0: Loss: 0.5868854522705078, Acc: 100.00%, Labels: [1, 1]
Batch 0: Loss: 0.7172263264656067, Acc: 50.00%, Labels: [1, 1]
Batch 1: Loss: 0.2194739580154419, Acc: 100.00%, Labels: [1, 0]
Batch 1: Loss: 0.3645244836807251, Acc: 100.00%, Labels: [1, 0]
Batch 1: Loss: 0.7445996999740601, Acc: 50.00%, Labels: [1, 1]
Batch 1: Loss: 0.7177983522415161, Acc: 50.00%, Labels: [1, 1]
Batch 2: Loss: 0.7117639780044556, Acc: 50.00%, Labels: [1, 1]
Batch 2: Loss: 0.7080579996109009, Acc: 50.00%, Labels: [1, 1]
Batch 2: Loss: 1.549208641052246, Acc: 0.00%, Labels: [1, 0]
Batch 2: Loss: 0.6883822679519653, Acc: 50.00%, Labels: [1, 1]
Batch 3: Loss: 0.6619997024536133, Acc: 50.00%, Labels: [1, 1]
Batch 3: Loss: 0.9359060525894165, Acc: 0.00%, Labels: [0, 0]
Batch 3: Loss: 0.5227275490760803, Acc: 100.00%, Labels: [1, 1]
Batch 3: Loss: 0.613050103187561, Acc: 50.00%, Labels: [1, 1]
Batch 4: Loss: 1.1843476295471191, Acc: 0.00%, Labels: [1, 0]
Batch 4: Loss: 0.5626911520957947, Acc: 50.00%, Labels: [1, 1]
Batch 4: Loss: 0.6434937715530396, Acc: 50.00%, Labels: [1, 0]
Batch 4: Loss: 0.7611632943153381, Acc: 50.00%, Labels: [0, 1]
Batch 5: Loss: 0.34091100096702576, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.4004788398742676, Acc: 100.00%, Labels: [1, 0]
Batch 5: Loss: 1.1816556453704834, Acc: 50.00%, Labels: [1, 0]
Batch 5: Loss: 1.4346052408218384, Acc: 0.00%, Labels: [1, 0]
Batch 6: Loss: 1.4017088413238525, Acc: 0.00%, Labels: [0, 0]
Batch 6: Loss: 0.334607869386673, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.3444012701511383, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.43045273423194885, Acc: 50.00%, Labels: [1, 1]
Batch 7: Loss: 0.34388282895088196, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.488272488117218, Acc: 50.00%, Labels: [0, 1]
Batch 7: Loss: 0.3194679319858551, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.3198676109313965, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 1.370269775390625, Acc: 50.00%, Labels: [1, 0]
Batch 8: Loss: 0.27379247546195984, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 1.685784101486206, Acc: 0.00%, Labels: [0, 0]
Batch 8: Loss: 0.2894973158836365, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 0.2763870358467102, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 0.8042974472045898, Acc: 50.00%, Labels: [1, 0]
Batch 9: Loss: 0.22069525718688965, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 1.188251256942749, Acc: 50.00%, Labels: [1, 0]
Batch 10: Loss: 0.20039941370487213, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 1.8334112167358398, Acc: 0.00%, Labels: [0, 0]
Batch 10: Loss: 0.15981519222259521, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 0.1603095978498459, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 0.18352361023426056, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 0.15460872650146484, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 0.8219789266586304, Acc: 50.00%, Labels: [0, 1]
Batch 11: Loss: 0.1746506690979004, Acc: 100.00%, Labels: [1, 1]
Batch 12: Loss: 2.0078041553497314, Acc: 0.00%, Labels: [0]
Batch 12: Loss: 0.12666268646717072, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 2.133378028869629, Acc: 0.00%, Labels: [0]
Batch 12: Loss: 2.1526601314544678, Acc: 0.00%, Labels: [0]
Batch 0: Loss: 0.7724136114120483, Acc: 50.00%, Labels: [0, 1]
Batch 0: Loss: 0.18054217100143433, Acc: 100.00%, Labels: [1, 1]
Batch 0: Loss: 0.9568328261375427, Acc: 50.00%, Labels: [1, 0]
Batch 0: Loss: 0.18961456418037415, Acc: 100.00%, Labels: [1, 1]
Batch 1: Loss: 1.0394197702407837, Acc: 50.00%, Labels: [1, 0]
Batch 1: Loss: 0.9652826189994812, Acc: 50.00%, Labels: [1, 0]
Batch 1: Loss: 0.9008116126060486, Acc: 50.00%, Labels: [1, 0]
Batch 1: Loss: 1.0228736400604248, Acc: 50.00%, Labels: [1, 0]
Batch 2: Loss: 0.28099507093429565, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.3055333197116852, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.28653520345687866, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.27699050307273865, Acc: 100.00%, Labels: [1, 1]
Batch 3: Loss: 0.7651294469833374, Acc: 50.00%, Labels: [1, 0]
Batch 3: Loss: 0.3249307870864868, Acc: 100.00%, Labels: [1, 1]
Batch 3: Loss: 0.7586753964424133, Acc: 50.00%, Labels: [1, 0]
Batch 3: Loss: 0.3174349069595337, Acc: 100.00%, Labels: [1, 1]
Batch 4: Loss: 0.35705894231796265, Acc: 100.00%, Labels: [1, 1]
Batch 4: Loss: 0.33756208419799805, Acc: 100.00%, Labels: [1, 1]
Batch 4: Loss: 1.2560374736785889, Acc: 0.00%, Labels: [0, 0]
Batch 4: Loss: 0.34627965092658997, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.36530619859695435, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.3769615590572357, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.36608588695526123, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.36347559094429016, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.37003421783447266, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.79312664270401, Acc: 50.00%, Labels: [1, 0]
Batch 6: Loss: 0.3578757345676422, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.3783729672431946, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 1.191402792930603, Acc: 0.00%, Labels: [0, 0]
Batch 7: Loss: 0.367877334356308, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.370883584022522, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.3582044541835785, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.6517603993415833, Acc: 50.00%, Labels: [1, 0]
Batch 8: Loss: 0.8981878757476807, Acc: 50.00%, Labels: [1, 0]
Batch 8: Loss: 0.3110576868057251, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.876213788986206, Acc: 50.00%, Labels: [1, 0]
Batch 9: Loss: 0.7387136220932007, Acc: 50.00%, Labels: [0, 1]
Batch 9: Loss: 0.2927153706550598, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 0.7557921409606934, Acc: 50.00%, Labels: [0, 1]
Batch 9: Loss: 1.358283281326294, Acc: 0.00%, Labels: [0, 0]
Batch 10: Loss: 0.3295046389102936, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 0.3126428723335266, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 0.3376044034957886, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 0.8389330506324768, Acc: 50.00%, Labels: [0, 1]
Batch 11: Loss: 0.7702963352203369, Acc: 50.00%, Labels: [1, 0]
Batch 11: Loss: 0.8902460932731628, Acc: 50.00%, Labels: [1, 0]
Batch 11: Loss: 0.7962166666984558, Acc: 50.00%, Labels: [0, 1]
Batch 11: Loss: 0.33774715662002563, Acc: 100.00%, Labels: [1, 1]
Batch 12: Loss: 0.29595494270324707, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 1.338373064994812, Acc: 0.00%, Labels: [0]
Batch 12: Loss: 1.3381308317184448, Acc: 0.00%, Labels: [0]
Batch 12: Loss: 0.2906336188316345, Acc: 100.00%, Labels: [1]
Batch 0: Loss: 0.37532466650009155, Acc: 100.00%, Labels: [1, 1]
Batch 0: Loss: 0.3565874993801117, Acc: 100.00%, Labels: [1, 1]
Batch 0: Loss: 0.36064305901527405, Acc: 100.00%, Labels: [1, 1]
Batch 0: Loss: 0.7759362459182739, Acc: 50.00%, Labels: [0, 1]
Batch 1: Loss: 0.37293756008148193, Acc: 100.00%, Labels: [1, 1]
Batch 1: Loss: 0.3727649450302124, Acc: 100.00%, Labels: [1, 1]
Batch 1: Loss: 0.370339035987854, Acc: 100.00%, Labels: [1, 1]
Batch 1: Loss: 1.1762409210205078, Acc: 0.00%, Labels: [0, 0]
Batch 2: Loss: 0.6945789456367493, Acc: 50.00%, Labels: [0, 1]
Batch 2: Loss: 0.3933256268501282, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.6616840362548828, Acc: 50.00%, Labels: [0, 1]
Batch 2: Loss: 0.7750923037528992, Acc: 50.00%, Labels: [0, 1]
Batch 3: Loss: 0.8440421223640442, Acc: 50.00%, Labels: [0, 1]
Batch 3: Loss: 1.113933801651001, Acc: 0.00%, Labels: [0, 0]
Batch 3: Loss: 1.117039442062378, Acc: 0.00%, Labels: [0, 0]
Batch 3: Loss: 0.4198313355445862, Acc: 100.00%, Labels: [1, 1]
Batch 4: Loss: 0.6649627685546875, Acc: 50.00%, Labels: [1, 0]
Batch 4: Loss: 1.016702651977539, Acc: 0.00%, Labels: [0, 0]
Batch 4: Loss: 0.4604715406894684, Acc: 100.00%, Labels: [1, 1]
Batch 4: Loss: 0.8235146403312683, Acc: 50.00%, Labels: [0, 1]
Batch 5: Loss: 0.9051192998886108, Acc: 50.00%, Labels: [1, 0]
Batch 5: Loss: 0.7640862464904785, Acc: 50.00%, Labels: [0, 1]
Batch 5: Loss: 0.549579381942749, Acc: 50.00%, Labels: [0, 1]
Batch 5: Loss: 0.5178530216217041, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.5840662717819214, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.6089873313903809, Acc: 50.00%, Labels: [1, 1]
Batch 6: Loss: 0.5872185230255127, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.5995022654533386, Acc: 50.00%, Labels: [1, 1]
Batch 7: Loss: 0.9441796541213989, Acc: 0.00%, Labels: [1, 0]
Batch 7: Loss: 0.6059905290603638, Acc: 50.00%, Labels: [1, 1]
Batch 7: Loss: 0.5791820287704468, Acc: 50.00%, Labels: [1, 1]
Batch 7: Loss: 0.9270995855331421, Acc: 0.00%, Labels: [1, 0]
Batch 8: Loss: 0.5291429758071899, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.5421172976493835, Acc: 100.00%, Labels: [1, 0]
Batch 8: Loss: 0.545722484588623, Acc: 50.00%, Labels: [1, 1]
Batch 8: Loss: 0.5412468910217285, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 0.6052426695823669, Acc: 50.00%, Labels: [1, 0]
Batch 9: Loss: 0.4672132134437561, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 0.6303076148033142, Acc: 50.00%, Labels: [1, 0]
Batch 9: Loss: 0.6558986902236938, Acc: 50.00%, Labels: [0, 1]
Batch 10: Loss: 0.3897632360458374, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 0.6548604369163513, Acc: 50.00%, Labels: [0, 1]
Batch 10: Loss: 0.40348750352859497, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 0.41455793380737305, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 0.35288169980049133, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 0.34069207310676575, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 0.35661837458610535, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 0.7656965255737305, Acc: 50.00%, Labels: [1, 0]
Batch 12: Loss: 0.25672054290771484, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 0.2589348554611206, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 0.2555980086326599, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 0.2566585838794708, Acc: 100.00%, Labels: [1]
Batch 0: Loss: 0.971176028251648, Acc: 50.00%, Labels: [1, 0]
Batch 0: Loss: 1.0038784742355347, Acc: 50.00%, Labels: [0, 1]
Batch 0: Loss: 0.2260173112154007, Acc: 100.00%, Labels: [1, 1]
Batch 0: Loss: 0.20875124633312225, Acc: 100.00%, Labels: [1, 1]
Batch 1: Loss: 1.0807524919509888, Acc: 50.00%, Labels: [0, 1]
Batch 1: Loss: 1.004838228225708, Acc: 50.00%, Labels: [1, 0]
Batch 1: Loss: 0.964380145072937, Acc: 50.00%, Labels: [1, 0]
Batch 1: Loss: 0.17240479588508606, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 1.1217775344848633, Acc: 50.00%, Labels: [1, 0]
Batch 2: Loss: 0.14944297075271606, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.14059224724769592, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.1418551355600357, Acc: 100.00%, Labels: [1, 1]
Batch 3: Loss: 0.1309676170349121, Acc: 100.00%, Labels: [1, 1]
Batch 3: Loss: 1.5000760555267334, Acc: 50.00%, Labels: [0, 1]
Batch 3: Loss: 0.9930266737937927, Acc: 50.00%, Labels: [1, 0]
Batch 3: Loss: 0.968066394329071, Acc: 50.00%, Labels: [0, 1]
Batch 4: Loss: 0.13512834906578064, Acc: 100.00%, Labels: [1, 1]
Batch 4: Loss: 1.3459415435791016, Acc: 50.00%, Labels: [1, 0]
Batch 4: Loss: 0.1220601350069046, Acc: 100.00%, Labels: [1, 1]
Batch 4: Loss: 0.13037849962711334, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 1.0388096570968628, Acc: 50.00%, Labels: [0, 1]
Batch 5: Loss: 0.1307011842727661, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 1.182808756828308, Acc: 50.00%, Labels: [0, 1]
Batch 5: Loss: 0.12731976807117462, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.10468100011348724, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.9881088733673096, Acc: 50.00%, Labels: [0, 1]
Batch 6: Loss: 1.132620096206665, Acc: 50.00%, Labels: [0, 1]
Batch 6: Loss: 1.2057037353515625, Acc: 50.00%, Labels: [1, 0]
Batch 7: Loss: 0.14236651360988617, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 1.0270692110061646, Acc: 50.00%, Labels: [0, 1]
Batch 7: Loss: 0.1286812424659729, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.12502506375312805, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.17492622137069702, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.16064055263996124, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.8865755200386047, Acc: 50.00%, Labels: [1, 0]
Batch 8: Loss: 0.15567238628864288, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 1.055060625076294, Acc: 50.00%, Labels: [0, 1]
Batch 9: Loss: 0.17689847946166992, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 0.18804529309272766, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 0.18224802613258362, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 0.7055674195289612, Acc: 50.00%, Labels: [1, 0]
Batch 10: Loss: 0.7127609252929688, Acc: 50.00%, Labels: [1, 0]
Batch 10: Loss: 0.1803004890680313, Acc: 100.00%, Labels: [1, 1]
Batch 10: Loss: 0.6976263523101807, Acc: 50.00%, Labels: [1, 0]
Batch 11: Loss: 0.229417085647583, Acc: 100.00%, Labels: [1, 1]
Batch 11: Loss: 1.09552800655365, Acc: 50.00%, Labels: [0, 1]
Batch 11: Loss: 1.7549084424972534, Acc: 0.00%, Labels: [0, 0]
Batch 11: Loss: 0.6567851305007935, Acc: 50.00%, Labels: [0, 1]
Batch 12: Loss: 0.21303720772266388, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 0.22605964541435242, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 0.22536885738372803, Acc: 100.00%, Labels: [1]
Batch 12: Loss: 1.6460641622543335, Acc: 0.00%, Labels: [0]
Batch 0: Loss: 0.33199799060821533, Acc: 100.00%, Labels: [1, 1]
Batch 0: Loss: 0.4533831775188446, Acc: 50.00%, Labels: [1, 0]
Batch 0: Loss: 0.34860530495643616, Acc: 100.00%, Labels: [1, 1]
Batch 0: Loss: 0.32793277502059937, Acc: 100.00%, Labels: [1, 1]
Batch 1: Loss: 0.7447081208229065, Acc: 50.00%, Labels: [1, 0]
Batch 1: Loss: 1.3289070129394531, Acc: 50.00%, Labels: [0, 1]
Batch 1: Loss: 0.48025962710380554, Acc: 50.00%, Labels: [1, 0]
Batch 1: Loss: 0.3503301739692688, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.3525155782699585, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.39451855421066284, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.3731425404548645, Acc: 100.00%, Labels: [1, 1]
Batch 2: Loss: 0.4122067093849182, Acc: 100.00%, Labels: [1, 1]
Batch 3: Loss: 0.35799944400787354, Acc: 100.00%, Labels: [1, 1]
Batch 3: Loss: 0.6867924928665161, Acc: 50.00%, Labels: [0, 1]
Batch 3: Loss: 0.440143346786499, Acc: 50.00%, Labels: [1, 1]
Batch 3: Loss: 0.3696063160896301, Acc: 100.00%, Labels: [0, 1]
Batch 4: Loss: 1.268869161605835, Acc: 0.00%, Labels: [0, 1]
Batch 4: Loss: 0.5075213313102722, Acc: 50.00%, Labels: [1, 0]
Batch 4: Loss: 1.1672790050506592, Acc: 50.00%, Labels: [0, 1]
Batch 4: Loss: 0.4189971685409546, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.4891405701637268, Acc: 50.00%, Labels: [0, 1]
Batch 5: Loss: 1.3192859888076782, Acc: 50.00%, Labels: [0, 0]
Batch 5: Loss: 1.1755269765853882, Acc: 50.00%, Labels: [1, 0]
Batch 5: Loss: 0.3913407325744629, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.5757171511650085, Acc: 50.00%, Labels: [1, 0]
Batch 6: Loss: 0.38531091809272766, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.4280868172645569, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.4223562180995941, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.41018491983413696, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.3941866457462311, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.9332545399665833, Acc: 50.00%, Labels: [0, 1]
